epoch,layer_index,layer_name,beta,tau
45,26,stage3.0.attn.attn_lif,0.379558,1.611753
45,27,stage3.0.mlp.fc1_lif,0.648730,2.846811
45,28,stage3.0.mlp.fc2_lif,0.598858,2.492885
45,29,stage3.1.attn.x_lif,0.503878,2.015633
45,30,stage3.1.attn.q_lif,0.267367,1.364941
45,31,stage3.1.attn.k_lif,0.286573,1.401686
45,32,stage3.1.attn.v_lif,0.366692,1.579011
45,33,stage3.1.attn.attn_lif,0.181372,1.221557
45,34,stage3.1.mlp.fc1_lif,0.674100,3.068422
45,35,stage3.1.mlp.fc2_lif,0.539289,2.170557
45,36,head_lif,0.347609,1.532823
50,0,patch_embed1.embed1.embed_lif,0.294988,1.418417
50,1,patch_embed1.embed2.embed_lif,0.477598,1.914235
50,2,stage1.0.attn.x_lif,0.397348,1.659334
50,3,stage1.0.attn.q_lif,0.280062,1.389009
50,4,stage1.0.attn.k_lif,0.429477,1.752779
50,5,stage1.0.attn.v_lif,0.419610,1.722980
50,6,stage1.0.attn.attn_lif,0.844298,6.422514
50,7,stage1.0.mlp.fc1_lif,0.668711,3.018516
50,8,stage1.0.mlp.fc2_lif,0.465925,1.872398
50,9,patch_embed2.embed1.embed_lif,0.534423,2.147871
50,10,patch_embed2.orig_embed1.embed_lif,0.307734,1.444532
50,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
50,12,stage2.0.attn.x_lif,0.515298,2.063125
50,13,stage2.0.attn.q_lif,0.340952,1.517339
50,14,stage2.0.attn.k_lif,0.391956,1.644617
50,15,stage2.0.attn.v_lif,0.377471,1.606350
50,16,stage2.0.attn.attn_lif,0.692888,3.256145
50,17,stage2.0.mlp.fc1_lif,0.694976,3.278426
50,18,stage2.0.mlp.fc2_lif,0.631796,2.715883
50,19,patch_embed3.embed1.embed_lif,0.526021,2.109798
50,20,patch_embed3.orig_embed1.embed_lif,0.284519,1.397661
50,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
50,22,stage3.0.attn.x_lif,0.516808,2.069570
50,23,stage3.0.attn.q_lif,0.316885,1.463883
50,24,stage3.0.attn.k_lif,0.326602,1.485005
50,25,stage3.0.attn.v_lif,0.333020,1.499295
50,26,stage3.0.attn.attn_lif,0.378202,1.608238
50,27,stage3.0.mlp.fc1_lif,0.648622,2.845940
50,28,stage3.0.mlp.fc2_lif,0.580897,2.386050
50,29,stage3.1.attn.x_lif,0.509791,2.039948
50,30,stage3.1.attn.q_lif,0.261848,1.354734
50,31,stage3.1.attn.k_lif,0.287440,1.403391
50,32,stage3.1.attn.v_lif,0.355755,1.552205
50,33,stage3.1.attn.attn_lif,0.177960,1.216486
50,34,stage3.1.mlp.fc1_lif,0.671956,3.048367
50,35,stage3.1.mlp.fc2_lif,0.505131,2.020735
50,36,head_lif,0.347141,1.531725
55,0,patch_embed1.embed1.embed_lif,0.296439,1.421340
55,1,patch_embed1.embed2.embed_lif,0.475674,1.907211
55,2,stage1.0.attn.x_lif,0.394882,1.652570
55,3,stage1.0.attn.q_lif,0.270127,1.370102
55,4,stage1.0.attn.k_lif,0.418741,1.720403
55,5,stage1.0.attn.v_lif,0.409480,1.693422
55,6,stage1.0.attn.attn_lif,0.854950,6.894178
55,7,stage1.0.mlp.fc1_lif,0.669929,3.029651
55,8,stage1.0.mlp.fc2_lif,0.460181,1.852474
55,9,patch_embed2.embed1.embed_lif,0.528866,2.122538
55,10,patch_embed2.orig_embed1.embed_lif,0.295321,1.419086
55,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
55,12,stage2.0.attn.x_lif,0.512268,2.050308
55,13,stage2.0.attn.q_lif,0.333944,1.501376
55,14,stage2.0.attn.k_lif,0.385055,1.626162
55,15,stage2.0.attn.v_lif,0.374307,1.598227
55,16,stage2.0.attn.attn_lif,0.700764,3.341844
55,17,stage2.0.mlp.fc1_lif,0.697610,3.306992
55,18,stage2.0.mlp.fc2_lif,0.628279,2.690192
55,19,patch_embed3.embed1.embed_lif,0.519910,2.082942
55,20,patch_embed3.orig_embed1.embed_lif,0.276746,1.382640
55,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
55,22,stage3.0.attn.x_lif,0.500885,2.003546
55,23,stage3.0.attn.q_lif,0.305735,1.440371
55,24,stage3.0.attn.k_lif,0.322598,1.476228
55,25,stage3.0.attn.v_lif,0.323457,1.478102
55,26,stage3.0.attn.attn_lif,0.372082,1.592564
55,27,stage3.0.mlp.fc1_lif,0.647948,2.840493
55,28,stage3.0.mlp.fc2_lif,0.558177,2.263350
55,29,stage3.1.attn.x_lif,0.513220,2.054316
55,30,stage3.1.attn.q_lif,0.268116,1.366336
55,31,stage3.1.attn.k_lif,0.291005,1.410447
55,32,stage3.1.attn.v_lif,0.350715,1.540155
55,33,stage3.1.attn.attn_lif,0.183627,1.224930
55,34,stage3.1.mlp.fc1_lif,0.668067,3.012658
55,35,stage3.1.mlp.fc2_lif,0.477087,1.912366
55,36,head_lif,0.344896,1.526476
60,0,patch_embed1.embed1.embed_lif,0.281483,1.391756
60,1,patch_embed1.embed2.embed_lif,0.476521,1.910297
60,2,stage1.0.attn.x_lif,0.390164,1.639786
60,3,stage1.0.attn.q_lif,0.272514,1.374597
60,4,stage1.0.attn.k_lif,0.419440,1.722475
60,5,stage1.0.attn.v_lif,0.408707,1.691208
60,6,stage1.0.attn.attn_lif,0.864094,7.358041
60,7,stage1.0.mlp.fc1_lif,0.671599,3.045053
60,8,stage1.0.mlp.fc2_lif,0.457607,1.843681
60,9,patch_embed2.embed1.embed_lif,0.523193,2.097287
60,10,patch_embed2.orig_embed1.embed_lif,0.291269,1.410973
60,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
60,12,stage2.0.attn.x_lif,0.511761,2.048178
60,13,stage2.0.attn.q_lif,0.327797,1.487646
60,14,stage2.0.attn.k_lif,0.381781,1.617549
60,15,stage2.0.attn.v_lif,0.367335,1.580616
60,16,stage2.0.attn.attn_lif,0.705989,3.401237
60,17,stage2.0.mlp.fc1_lif,0.699630,3.329232
60,18,stage2.0.mlp.fc2_lif,0.623382,2.655209
60,19,patch_embed3.embed1.embed_lif,0.521435,2.089580
60,20,patch_embed3.orig_embed1.embed_lif,0.273176,1.375849
60,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
60,22,stage3.0.attn.x_lif,0.491252,1.965611
60,23,stage3.0.attn.q_lif,0.282059,1.392871
60,24,stage3.0.attn.k_lif,0.307738,1.444540
60,25,stage3.0.attn.v_lif,0.311550,1.452539
60,26,stage3.0.attn.attn_lif,0.358141,1.557973
60,27,stage3.0.mlp.fc1_lif,0.643638,2.806139
60,28,stage3.0.mlp.fc2_lif,0.541811,2.182503
